path,owner,project,language,code
./src/_00/output/Javascript/nodejs~node/deps/npm/node_modules/@npmcli/arborist/lib/arborist/build-ideal-tree.js,nodejs,node,JavaScript,995
./src/_00/output/Javascript/nodejs~node/lib/internal/test_runner/test.js,nodejs,node,JavaScript,994
./src/_00/output/Javascript/nodejs~node/deps/v8/test/mjsunit/object-seal.js,nodejs,node,JavaScript,993
./src/_00/output/Javascript/nodejs~node/deps/v8/tools/profile.mjs,nodejs,node,JavaScript,979
./src/_00/output/Javascript/nodejs~node/deps/npm/node_modules/postcss-selector-parser/dist/parser.js,nodejs,node,JavaScript,969
./src/_00/output/Javascript/nodejs~node/deps/v8/test/mjsunit/wasm/exceptions.js,nodejs,node,JavaScript,966
./src/_00/output/Javascript/nodejs~node/deps/v8/test/mjsunit/wasm/imported-strings.js,nodejs,node,JavaScript,964
./src/_00/output/Javascript/nodejs~node/test/parallel/test-url-parse-format.js,nodejs,node,JavaScript,956
./src/_00/output/Javascript/nodejs~node/lib/_http_outgoing.js,nodejs,node,JavaScript,955
./src/_00/output/Javascript/nodejs~node/lib/internal/crypto/webcrypto.js,nodejs,node,JavaScript,951
./src/_00/output/Javascript/nodejs~node/deps/v8/test/mjsunit/strict-mode.js,nodejs,node,JavaScript,947
./src/_00/output/Javascript/nodejs~node/deps/v8/test/unittests/gay-precision.cc,nodejs,node,C++,100014
./src/_00/output/Javascript/nodejs~node/deps/v8/test/unittests/gay-shortest.cc,nodejs,node,C++,100014
./src/_00/output/Javascript/nodejs~node/deps/v8/test/unittests/gay-fixed.cc,nodejs,node,C++,100012
./src/_00/output/Javascript/nodejs~node/deps/simdjson/simdjson.cpp,nodejs,node,C++,31721
./src/_00/output/Javascript/nodejs~node/deps/simdutf/simdutf.cpp,nodejs,node,C++,28900
./src/_00/output/Javascript/nodejs~node/deps/v8/test/cctest/test-api.cc,nodejs,node,C++,24945
./src/_00/output/Javascript/nodejs~node/deps/v8/src/codegen/code-stub-assembler.cc,nodejs,node,C++,14572
./src/_00/output/Javascript/nodejs~node/deps/ada/ada.cpp,nodejs,node,C++,13917
./src/_00/output/Javascript/nodejs~node/deps/v8/test/cctest/test-assembler-arm64.cc,nodejs,node,C++,12807
./src/_00/output/Javascript/nodejs~node/deps/v8/src/objects/js-temporal-objects.cc,nodejs,node,C++,12230
./src/_00/output/Javascript/nodejs~node/deps/v8/test/unittests/parser/parsing-unittest.cc,nodejs,node,C++,10324
./src/_00/output/Javascript/nodejs~node/deps/v8/src/api/api.cc,nodejs,node,C++,10050
./src/_00/output/Javascript/nodejs~node/deps/v8/src/execution/s390/simulator-s390.cc,nodejs,node,C++,9796
./src/_00/output/Javascript/nodejs~node/deps/v8/test/cctest/test-assembler-mips64.cc,nodejs,node,C++,9363
./src/_00/output/Javascript/nodejs~node/deps/v8/src/maglev/maglev-graph-builder.cc,nodejs,node,C++,8643
./src/_00/output/Javascript/nodejs~node/deps/v8/src/compiler/wasm-compiler.cc,nodejs,node,C++,7702
./src/_00/output/Javascript/nodejs~node/deps/v8/src/execution/riscv/simulator-riscv.cc,nodejs,node,C++,7517
./src/_00/output/Javascript/nodejs~node/deps/v8/src/wasm/baseline/liftoff-compiler.cc,nodejs,node,C++,7131
./src/_00/output/Javascript/nodejs~node/deps/v8/src/compiler/backend/x64/code-generator-x64.cc,nodejs,node,C++,7066
./src/_00/output/Javascript/nodejs~node/deps/v8/src/execution/mips64/simulator-mips64.cc,nodejs,node,C++,7010
./src/_00/output/Javascript/nodejs~node/deps/v8/src/compiler/js-call-reducer.cc,nodejs,node,C++,6739
./src/_00/output/Javascript/nodejs~node/deps/v8/src/compiler/effect-control-linearizer.cc,nodejs,node,C++,6722
./src/_00/output/Javascript/nodejs~node/deps/v8/test/cctest/compiler/test-run-machops.cc,nodejs,node,C++,6714
./src/_00/output/Javascript/nodejs~node/deps/v8/src/compiler/backend/arm64/instruction-selector-arm64.cc,nodejs,node,C++,6655
./src/_00/output/Javascript/nodejs~node/deps/v8/src/wasm/turboshaft-graph-interface.cc,nodejs,node,C++,6263
./src/_00/output/Javascript/nodejs~node/deps/v8/src/compiler/backend/x64/instruction-selector-x64.cc,nodejs,node,C++,6166
./src/_00/output/Javascript/nodejs~node/deps/v8/src/interpreter/bytecode-generator.cc,nodejs,node,C++,6073
./src/_00/output/Javascript/nodejs~node/deps/v8/test/cctest/heap/test-heap.cc,nodejs,node,C++,5997
./src/_00/output/Javascript/nodejs~node/deps/v8/src/heap/heap.cc,nodejs,node,C++,5958
./src/_00/output/Javascript/nodejs~node/deps/v8/src/codegen/riscv/macro-assembler-riscv.cc,nodejs,node,C++,5902
./src/_00/output/Javascript/nodejs~node/deps/v8/src/execution/arm64/simulator-arm64.cc,nodejs,node,C++,5717
./src/_00/output/Javascript/nodejs~node/deps/v8/src/maglev/maglev-ir.cc,nodejs,node,C++,5673
./src/_00/output/Javascript/nodejs~node/deps/v8/src/init/bootstrapper.cc,nodejs,node,C++,5586
./src/_00/output/Javascript/nodejs~node/deps/v8/src/execution/arm/simulator-arm.cc,nodejs,node,C++,5580
./src/_00/output/Javascript/nodejs~node/deps/v8/src/codegen/mips64/macro-assembler-mips64.cc,nodejs,node,C++,5446
./src/_00/output/Javascript/nodejs~node/deps/v8/test/unittests/compiler/arm64/turboshaft-instruction-selector-arm64-unittest.cc,nodejs,node,C++,5408
./src/_00/output/Javascript/nodejs~node/deps/v8/test/unittests/compiler/arm64/instruction-selector-arm64-unittest.cc,nodejs,node,C++,5350
./src/_00/output/Javascript/nodejs~node/deps/v8/src/codegen/s390/macro-assembler-s390.cc,nodejs,node,C++,5289
./src/_00/output/Javascript/nodejs~node/deps/v8/src/execution/ppc/simulator-ppc.cc,nodejs,node,C++,5287
./src/_00/output/Javascript/nodejs~node/deps/v8/test/cctest/test-serialize.cc,nodejs,node,C++,5277
./src/_00/output/Javascript/nodejs~node/deps/v8/src/objects/objects.cc,nodejs,node,C++,5245
./src/_00/output/Javascript/nodejs~node/deps/v8/src/execution/isolate.cc,nodejs,node,C++,5116
./src/_00/output/Javascript/nodejs~node/deps/v8/src/d8/d8.cc,nodejs,node,C++,5111
./src/_00/output/Javascript/nodejs~node/deps/v8/src/compiler/backend/instruction-selector.cc,nodejs,node,C++,5097
./src/_00/output/Javascript/nodejs~node/deps/v8/src/execution/loong64/simulator-loong64.cc,nodejs,node,C++,5083
./src/_00/output/Javascript/nodejs~node/deps/v8/test/cctest/test-api-interceptors.cc,nodejs,node,C++,4974
./src/_00/output/Javascript/nodejs~node/deps/v8/src/codegen/ppc/macro-assembler-ppc.cc,nodejs,node,C++,4952
./src/_00/output/Javascript/nodejs~node/deps/v8/src/torque/implementation-visitor.cc,nodejs,node,C++,4784
./src/_00/output/Javascript/nodejs~node/deps/icu-small/source/i18n/decNumber.cpp,nodejs,node,C++,4783
./src/_00/output/Javascript/nodejs~node/deps/v8/src/compiler/simplified-lowering.cc,nodejs,node,C++,4723
./src/_00/output/Javascript/nodejs~node/deps/v8/src/compiler/backend/riscv/code-generator-riscv.cc,nodejs,node,C++,4713
./src/_00/output/Javascript/nodejs~node/deps/v8/src/objects/js-objects.cc,nodejs,node,C++,4691
./src/_00/output/Javascript/nodejs~node/deps/v8/test/cctest/test-debug.cc,nodejs,node,C++,4642
./src/_00/output/Javascript/nodejs~node/deps/v8/src/objects/elements.cc,nodejs,node,C++,4623
./src/_00/output/Javascript/nodejs~node/deps/v8/test/unittests/wasm/function-body-decoder-unittest.cc,nodejs,node,C++,4526
./src/_00/output/Javascript/nodejs~node/deps/v8/src/compiler/backend/mips64/code-generator-mips64.cc,nodejs,node,C++,4417
./src/_00/output/Javascript/nodejs~node/deps/v8/src/heap/mark-compact.cc,nodejs,node,C++,4389
./src/_00/output/Javascript/nodejs~node/deps/v8/test/unittests/assembler/disasm-arm64-unittest.cc,nodejs,node,C++,4361
./src/_00/output/Javascript/nodejs~node/deps/v8/test/cctest/wasm/test-run-wasm-simd.cc,nodejs,node,C++,4330
./src/_00/output/Javascript/nodejs~node/deps/v8/test/unittests/interpreter/interpreter-unittest.cc,nodejs,node,C++,4287
./src/_00/output/Javascript/nodejs~node/deps/v8/src/compiler/backend/arm/instruction-selector-arm.cc,nodejs,node,C++,4254
./src/_00/output/Javascript/nodejs~node/deps/v8/src/ic/accessor-assembler.cc,nodejs,node,C++,4238
./src/_00/output/Javascript/nodejs~node/deps/v8/src/diagnostics/arm64/disasm-arm64.cc,nodejs,node,C++,4208
./src/_00/output/Javascript/nodejs~node/deps/v8/src/compiler/backend/ia32/code-generator-ia32.cc,nodejs,node,C++,4179
./src/_00/output/Javascript/nodejs~node/deps/v8/src/codegen/loong64/macro-assembler-loong64.cc,nodejs,node,C++,4155
./src/_00/output/Javascript/nodejs~node/deps/googletest/src/gtest.cc,nodejs,node,C++,4150
./src/_00/output/Javascript/nodejs~node/deps/v8/src/compiler/backend/register-allocator.cc,nodejs,node,C++,4127
./src/_00/output/Javascript/nodejs~node/deps/v8/src/compiler/backend/arm/code-generator-arm.cc,nodejs,node,C++,4064
./src/_00/output/Javascript/nodejs~node/deps/v8/src/compiler/backend/mips64/instruction-selector-mips64.cc,nodejs,node,C++,4032
./src/_00/output/Javascript/nodejs~node/deps/v8/src/compiler/backend/loong64/instruction-selector-loong64.cc,nodejs,node,C++,4021
./src/_00/output/Javascript/nodejs~node/deps/icu-small/source/i18n/rematch.cpp,nodejs,node,C++,4020
./src/_00/output/Javascript/nodejs~node/deps/v8/src/codegen/arm/assembler-arm.cc,nodejs,node,C++,4002
./src/_00/output/Javascript/nodejs~node/deps/v8/test/cctest/test-assembler-loong64.cc,nodejs,node,C++,3937
./src/_00/output/Javascript/nodejs~node/deps/v8/src/codegen/x64/assembler-x64.cc,nodejs,node,C++,3921
./src/_00/output/Javascript/nodejs~node/deps/v8/src/compiler/backend/ia32/instruction-selector-ia32.cc,nodejs,node,C++,3878
./src/_00/output/Javascript/nodejs~node/deps/v8/src/compiler/backend/s390/instruction-selector-s390.cc,nodejs,node,C++,3813
./src/_00/output/Javascript/nodejs~node/deps/v8/src/heap/factory.cc,nodejs,node,C++,3765
./src/_00/output/Javascript/nodejs~node/deps/v8/src/codegen/arm64/assembler-arm64.cc,nodejs,node,C++,3752
./src/_00/output/Javascript/nodejs~node/deps/openssl/config/archs/VC-WIN64A/asm/configdata.pm,nodejs,node,Perl,28152
./src/_00/output/Javascript/nodejs~node/deps/openssl/config/archs/VC-WIN64A/asm_avx2/configdata.pm,nodejs,node,Perl,28152
./src/_00/output/Javascript/nodejs~node/deps/openssl/config/archs/linux-x86_64/asm/configdata.pm,nodejs,node,Perl,28071
./src/_00/output/Javascript/nodejs~node/deps/openssl/config/archs/linux-x86_64/asm_avx2/configdata.pm,nodejs,node,Perl,28071
./src/_00/output/Javascript/nodejs~node/deps/openssl/config/archs/BSD-x86_64/asm/configdata.pm,nodejs,node,Perl,28064
./src/_00/output/Javascript/nodejs~node/deps/openssl/config/archs/BSD-x86_64/asm_avx2/configdata.pm,nodejs,node,Perl,28064
./src/_00/output/Javascript/nodejs~node/deps/openssl/config/archs/solaris64-x86_64-gcc/asm/configdata.pm,nodejs,node,Perl,28063
./src/_00/output/Javascript/nodejs~node/deps/openssl/config/archs/solaris64-x86_64-gcc/asm_avx2/configdata.pm,nodejs,node,Perl,28063
./src/_00/output/Javascript/nodejs~node/deps/openssl/config/archs/darwin64-x86_64-cc/asm/configdata.pm,nodejs,node,Perl,28022
./src/_00/output/Javascript/nodejs~node/deps/openssl/config/archs/darwin64-x86_64-cc/asm_avx2/configdata.pm,nodejs,node,Perl,28022
./src/_00/output/Javascript/nodejs~node/deps/openssl/config/archs/VC-WIN32/asm/configdata.pm,nodejs,node,Perl,28013
./src/_00/output/Javascript/nodejs~node/deps/openssl/config/archs/VC-WIN32/asm_avx2/configdata.pm,nodejs,node,Perl,28013
./src/_00/output/Javascript/nodejs~node/deps/openssl/config/archs/linux-armv4/asm/configdata.pm,nodejs,node,Perl,28005
./src/_00/output/Javascript/nodejs~node/deps/openssl/config/archs/linux-armv4/asm_avx2/configdata.pm,nodejs,node,Perl,28005
./src/_00/output/Javascript/nodejs~node/deps/openssl/config/archs/linux-ppc64le/asm/configdata.pm,nodejs,node,Perl,27984
./src/_00/output/Javascript/nodejs~node/deps/openssl/config/archs/linux-ppc64le/asm_avx2/configdata.pm,nodejs,node,Perl,27984
./src/_00/output/Javascript/nodejs~node/deps/openssl/config/archs/aix64-gcc-as/asm/configdata.pm,nodejs,node,Perl,27979
./src/_00/output/Javascript/nodejs~node/deps/openssl/config/archs/aix64-gcc-as/asm_avx2/configdata.pm,nodejs,node,Perl,27979
./src/_00/output/Javascript/nodejs~node/deps/openssl/config/archs/linux-aarch64/asm/configdata.pm,nodejs,node,Perl,27963
./src/_00/output/Javascript/nodejs~node/deps/openssl/config/archs/linux-aarch64/asm_avx2/configdata.pm,nodejs,node,Perl,27963
./src/_00/output/Javascript/nodejs~node/deps/openssl/config/archs/linux64-s390x/asm/configdata.pm,nodejs,node,Perl,27948
./src/_00/output/Javascript/nodejs~node/deps/openssl/config/archs/linux64-s390x/asm_avx2/configdata.pm,nodejs,node,Perl,27948
./src/_00/output/Javascript/nodejs~node/deps/openssl/config/archs/linux32-s390x/asm/configdata.pm,nodejs,node,Perl,27937
./src/_00/output/Javascript/nodejs~node/deps/openssl/config/archs/linux32-s390x/asm_avx2/configdata.pm,nodejs,node,Perl,27937
./src/_00/output/Javascript/nodejs~node/deps/openssl/config/archs/linux-elf/asm/configdata.pm,nodejs,node,Perl,27924
./src/_00/output/Javascript/nodejs~node/deps/openssl/config/archs/linux-elf/asm_avx2/configdata.pm,nodejs,node,Perl,27924
./src/_00/output/Javascript/nodejs~node/deps/openssl/config/archs/BSD-x86/asm/configdata.pm,nodejs,node,Perl,27918
./src/_00/output/Javascript/nodejs~node/deps/openssl/config/archs/BSD-x86/asm_avx2/configdata.pm,nodejs,node,Perl,27918
./src/_00/output/Javascript/nodejs~node/deps/openssl/config/archs/solaris-x86-gcc/asm/configdata.pm,nodejs,node,Perl,27917
./src/_00/output/Javascript/nodejs~node/deps/openssl/config/archs/solaris-x86-gcc/asm_avx2/configdata.pm,nodejs,node,Perl,27917
./src/_00/output/Javascript/nodejs~node/deps/openssl/config/archs/darwin64-arm64-cc/asm/configdata.pm,nodejs,node,Perl,27915
./src/_00/output/Javascript/nodejs~node/deps/openssl/config/archs/darwin64-arm64-cc/asm_avx2/configdata.pm,nodejs,node,Perl,27915
./src/_00/output/Javascript/nodejs~node/deps/openssl/config/archs/darwin-i386-cc/asm/configdata.pm,nodejs,node,Perl,27877
./src/_00/output/Javascript/nodejs~node/deps/openssl/config/archs/darwin-i386-cc/asm_avx2/configdata.pm,nodejs,node,Perl,27877
./src/_00/output/Javascript/nodejs~node/deps/openssl/config/archs/linux64-mips64/asm/configdata.pm,nodejs,node,Perl,27866
./src/_00/output/Javascript/nodejs~node/deps/openssl/config/archs/linux64-mips64/asm_avx2/configdata.pm,nodejs,node,Perl,27866
./src/_00/output/Javascript/nodejs~node/deps/openssl/config/archs/VC-WIN64A/no-asm/configdata.pm,nodejs,node,Perl,27852
./src/_00/output/Javascript/nodejs~node/deps/openssl/config/archs/VC-WIN32/no-asm/configdata.pm,nodejs,node,Perl,27848
./src/_00/output/Javascript/nodejs~node/deps/openssl/config/archs/VC-WIN64-ARM/no-asm/configdata.pm,nodejs,node,Perl,27840
./src/_00/output/Javascript/nodejs~node/deps/openssl/config/archs/linux-x86_64/no-asm/configdata.pm,nodejs,node,Perl,27761
./src/_00/output/Javascript/nodejs~node/deps/openssl/config/archs/linux64-mips64/no-asm/configdata.pm,nodejs,node,Perl,27761
./src/_00/output/Javascript/nodejs~node/deps/openssl/config/archs/linux64-s390x/no-asm/configdata.pm,nodejs,node,Perl,27761
./src/_00/output/Javascript/nodejs~node/deps/openssl/config/archs/linux-aarch64/no-asm/configdata.pm,nodejs,node,Perl,27760
./src/_00/output/Javascript/nodejs~node/deps/openssl/config/archs/linux-armv4/no-asm/configdata.pm,nodejs,node,Perl,27760
./src/_00/output/Javascript/nodejs~node/deps/openssl/config/archs/linux-ppc64le/no-asm/configdata.pm,nodejs,node,Perl,27760
./src/_00/output/Javascript/nodejs~node/deps/openssl/config/archs/linux32-s390x/no-asm/configdata.pm,nodejs,node,Perl,27760
./src/_00/output/Javascript/nodejs~node/deps/openssl/config/archs/linux-elf/no-asm/configdata.pm,nodejs,node,Perl,27759
./src/_00/output/Javascript/nodejs~node/deps/openssl/config/archs/linux64-loongarch64/no-asm/configdata.pm,nodejs,node,Perl,27759
./src/_00/output/Javascript/nodejs~node/deps/openssl/config/archs/linux64-riscv64/no-asm/configdata.pm,nodejs,node,Perl,27759
./src/_00/output/Javascript/nodejs~node/deps/openssl/config/archs/aix64-gcc-as/no-asm/configdata.pm,nodejs,node,Perl,27755
./src/_00/output/Javascript/nodejs~node/deps/openssl/config/archs/BSD-x86_64/no-asm/configdata.pm,nodejs,node,Perl,27754
./src/_00/output/Javascript/nodejs~node/deps/openssl/config/archs/BSD-x86/no-asm/configdata.pm,nodejs,node,Perl,27753
./src/_00/output/Javascript/nodejs~node/deps/openssl/config/archs/solaris64-x86_64-gcc/no-asm/configdata.pm,nodejs,node,Perl,27753
./src/_00/output/Javascript/nodejs~node/deps/openssl/config/archs/solaris-x86-gcc/no-asm/configdata.pm,nodejs,node,Perl,27752
./src/_00/output/Javascript/nodejs~node/deps/cares/src/lib/ares_platform.c,nodejs,node,C,10994
./src/_00/output/Javascript/nodejs~node/deps/llhttp/src/llhttp.c,nodejs,node,C,9911
./src/_00/output/Javascript/nodejs~node/deps/ngtcp2/ngtcp2/lib/ngtcp2_conn.c,nodejs,node,C,9840
./src/_00/output/Javascript/nodejs~node/deps/openssl/openssl/crypto/ec/ecp_nistz256_table.c,nodejs,node,C,9519
./src/_00/output/Javascript/nodejs~node/deps/openssl/openssl/test/sslapitest.c,nodejs,node,C,8186
./src/_00/output/Javascript/nodejs~node/deps/nghttp2/lib/nghttp2_session.c,nodejs,node,C,6151
./src/_00/output/Javascript/nodejs~node/deps/brotli/c/common/dictionary.c,nodejs,node,C,5895
./src/_00/output/Javascript/nodejs~node/deps/openssl/openssl/crypto/ec/curve25519.c,nodejs,node,C,4884
./src/_00/output/Javascript/nodejs~node/deps/nghttp2/lib/nghttp2_hd_huffman_data.c,nodejs,node,C,4695
./src/_00/output/Javascript/nodejs~node/deps/ngtcp2/nghttp3/lib/nghttp3_qpack_huffman_data.c,nodejs,node,C,4695
./src/_00/output/Javascript/nodejs~node/deps/openssl/openssl/ssl/ssl_lib.c,nodejs,node,C,4579
./src/_00/output/Javascript/nodejs~node/deps/openssl/openssl/ssl/s3_lib.c,nodejs,node,C,4557
./src/_00/output/Javascript/nodejs~node/deps/openssl/openssl/test/evp_extra_test.c,nodejs,node,C,4461
./src/_00/output/Javascript/nodejs~node/tools/cpplint.py,nodejs,node,Python,3263
./src/_00/output/Javascript/nodejs~node/deps/v8/tools/grokdump.py,nodejs,node,Python,3085
./src/_00/output/Javascript/nodejs~node/deps/npm/node_modules/node-gyp/gyp/pylib/gyp/generator/msvs.py,nodejs,node,Python,2791
./src/_00/output/Javascript/nodejs~node/tools/gyp/pylib/gyp/generator/msvs.py,nodejs,node,Python,2790
./src/_00/output/Javascript/nodejs~node/tools/v8_gypfiles/v8.gyp,nodejs,node,Python,2454
./src/_00/output/Javascript/nodejs~node/tools/gyp/pylib/gyp/generator/ninja.py,nodejs,node,Python,2287
./src/_00/output/Javascript/nodejs~node/deps/npm/node_modules/node-gyp/gyp/pylib/gyp/generator/ninja.py,nodejs,node,Python,2268
./src/_00/output/Javascript/nodejs~node/tools/gyp/pylib/gyp/input.py,nodejs,node,Python,1884
./src/_00/output/Javascript/nodejs~node/deps/npm/node_modules/node-gyp/gyp/pylib/gyp/input.py,nodejs,node,Python,1882
./src/_00/output/Javascript/nodejs~node/configure.py,nodejs,node,Python,1730
./src/_00/output/Javascript/nodejs~node/tools/gyp/pylib/gyp/xcodeproj_file.py,nodejs,node,Python,1728
./src/_00/output/Javascript/nodejs~node/deps/v8/third_party/ittapi/ittapi-rs/src/ittnotify_bindings.rs,nodejs,node,Rust,2985
./src/_00/output/Javascript/nodejs~node/deps/v8/tools/turbolizer/src/views/range-view.ts,nodejs,node,TypeScript,1704
